Number,Number Text,Name,ROD Name,Cost,Duelist Level,Alignment,Type,Card Level,ATK,DEF,Password,Status,Kind,Image
48,048,Sangan,,87,87,Fiend,Fiend,3,1000,600,26202165,Unlimited,monster,
49,049,Big Insect,,183,183,Forest,Insect,4,1200,1500,53606874,Unlimited,monster,
50,050,Basic Insect,,47,47,Forest,Insect,2,500,700,89091579,Unlimited,monster,
51,051,Armored Lizard,,183,183,Water,Reptile,4,1500,1200,15480588,Unlimited,monster,
52,052,Hercules Beetle,,86,86,Forest,Insect,5,1500,2000,52584282,Unlimited,monster,
53,053,Killer Needle,,121,121,Forest,Insect,4,1200,1000,88979991,Unlimited,monster,
54,054,Gokibore,,161,161,Forest,Insect,4,1200,1400,15367030,Unlimited,monster,
55,055,Giant Flea,,183,183,Forest,Insect,4,1500,1200,41762634,Unlimited,monster,
56,056,Larvae Moth,,255,255,Forest,Insect,2,500,400,87756343,Unlimited,monster,
57,057,Great Moth,,255,255,Forest,Insect,8,2600,2500,14141448,Unlimited,monster,
58,058,Kuriboh,,16,16,Dark,Fiend,1,300,200,40640057,Unlimited,monster,
59,059,Mammoth Graveyard,,121,121,Dark,Dinosaur,3,1200,800,40374923,Unlimited,monster,
60,060,Great White,,207,207,Water,Fish,4,1600,800,13429800,Unlimited,monster,
61,061,Wolf,,121,121,Forest,Beast,3,1200,800,49417509,Unlimited,monster,
62,062,Harpie Lady,,161,161,Wind,Winged Beast,4,1300,1400,76812113,Unlimited,monster,
63,063,Harpie Lady Sisters,,116,116,Wind,Winged Beast,6,1950,2100,12206212,Unlimited,monster,
64,064,Tiger Axe,,140,140,Forest,Beast-Warrior,4,1300,1100,49791927,Unlimited,monster,
65,065,Silver Fang,,121,121,Forest,Beast,3,1200,800,90357090,Unlimited,monster,
66,066,Kojikocy,,183,183,Earth,Warrior,4,1500,1200,01184620,Unlimited,monster,
67,067,Perfectly Ultimate Great Moth,,255,255,Forest,Insect,8,3500,3000,48579379,Unlimited,monster,
68,068,Garoozis,,41,41,Fire,Beast-Warrior,5,1800,1500,14977074,Unlimited,monster,
69,069,Thousand Dragon,,12,12,Fire,Dragon,7,2400,2000,41462083,Unlimited,monster,
70,070,Fiend Kraken,,161,161,Water,Aqua,4,1200,1400,77456781,Unlimited,monster,
71,071,Jellyfish,,183,183,Water,Aqua,4,1200,1500,14851496,Unlimited,monster,
72,072,Cocoon of Evolution,,255,255,Forest,Insect,3,0,2000,40240595,Unlimited,monster,
73,073,Kairyu-Shin,,41,41,Water,Sea Serpent,5,1800,1500,76634149,Unlimited,monster,
74,074,Giant Soldier of Stone,,319,319,Earth,Rock,3,1300,2000,13039848,Unlimited,monster,
75,075,Man-Eating Plant,,59,59,Dark,Plant,2,800,600,49127943,Unlimited,monster,
76,076,Krokodilus,,121,121,Water,Reptile,4,1100,1200,76512652,Unlimited,monster,
77,077,Grappler,,140,140,Water,Reptile,4,1300,1200,02906250,Unlimited,monster,
78,078,Axe Raider,,233,233,Earth,Warrior,4,1700,1150,48305365,Unlimited,monster,
79,079,Megazowler,,86,86,Earth,Dinosaur,6,1800,2000,75390004,Unlimited,monster,
80,080,Uraby,,183,183,Earth,Dinosaur,4,1500,800,01784619,Unlimited,monster,
81,081,Crawling Dragon #2,,207,207,Fiend,Dinosaur,4,1600,1200,38289717,Unlimited,monster,
82,082,Red-Eyes B. Dragon,,12,12,Fiend,Dragon,7,2400,2000,74677422,Unlimited,monster,
83,083,Castle of Dark Illusions,,493,493,Dark,Fiend,4,1200,2500,00062121,Unlimited,monster,
84,084,Reaper of the Cards,,86,86,Fiend,Fiend,5,1800,2000,33066139,Unlimited,monster,
85,085,King of Yamimakai,,331,331,Fiend,Fiend,5,2600,2300,69455834,Unlimited,monster,
86,086,Barox,,86,86,Forest,Fiend,5,1800,2000,06840573,Unlimited,monster,
87,087,Dark Chimera,,116,116,Dark,Fiend,5,2100,1900,32344688,Unlimited,monster,
88,088,Metal Guardian,,449,449,Fiend,Fiend,5,1500,2800,68339286,Unlimited,monster,
89,089,Catapult Turtle,,86,86,Water,Aqua,5,1000,2000,95727991,Unlimited,monster,
90,090,Gyakutenno Megami,,86,86,Light,Fairy,6,1800,2000,31122090,Unlimited,monster,
91,091,Mystic Horseman,,195,195,Forest,Beast,4,1300,1550,68516705,Unlimited,monster,
92,092,Rabid Horseman,,86,86,Forest,Beast-Warrior,6,2000,1700,94905343,Unlimited,monster,
93,093,Zanki,,25,25,Earth,Warrior,5,1500,1700,30090452,Unlimited,monster,
94,094,Crawling Dragon,,14,14,Earth,Dragon,5,1600,1400,67494157,Unlimited,monster,
95,095,Crass Clown,,161,161,Dreams,Fiend,4,1350,1400,93889755,Unlimited,monster,
96,096,Armored Zombie,,183,183,Fiend,Zombie,3,1500,0,20277860,Unlimited,monster,
97,097,Dragon Zombie,,207,207,Fiend,Zombie,3,1600,0,66672569,Unlimited,monster,
98,098,Clown Zombie,,150,150,Fiend,Zombie,2,1350,0,92667214,Unlimited,monster,
99,099,Pumpking the King of Ghosts,,86,86,Forest,Zombie,6,1800,2000,29155212,Unlimited,monster,
100,100,Battle Warrior,,87,87,Earth,Warrior,3,700,1000,55550921,Unlimited,monster,
101,101,Wings of Wicked Flame,,47,47,Fire,Pyro,2,700,600,92944626,Unlimited,monster,
102,102,Mask of Darkness,,72,72,Dark,Fiend,2,900,400,28933734,Unlimited,monster,
103,103,Baron of the Fiend Sword,,195,195,Dark,Fiend,4,1550,800,86325596,Unlimited,monster,
104,104,Curtain of the Dark Ones,,37,37,Dark,Spellcaster,2,600,500,22026707,Unlimited,monster,
105,105,Tomozaurus,,29,29,Earth,Dinosaur,2,500,400,46457856,Unlimited,monster,
106,106,Spirit of the Winds,,25,25,Wind,Spellcaster,5,1700,1400,54615781,Unlimited,monster,
107,107,Shining Abyss,,260,260,Light,Fiend,4,1600,1800,87303357,Unlimited,monster,
108,108,Headless Knight,,233,233,Earth,Fiend,4,1450,1700,05434080,Unlimited,monster,
109,109,Goddess with the Third Eye,,121,121,Light,Fairy,4,1200,1000,53493204,Unlimited,monster,
110,110,Ruklamba the Spirit King,,3,3,Dreams,Reptile,8,1000,2000,28913279,Unlimited,monster,
111,111,Doma The Angel of Silence,,14,14,Dark,Fairy,5,1600,1400,16972957,Unlimited,monster,
112,112,Keldo,,207,207,Light,Spellcaster,4,1200,1600,80441106,Unlimited,monster,
113,113,Soldier Ari,,121,121,Forest,Insect,3,500,1200,73038060,Unlimited,monster,
114,114,White Magical Hat,,87,87,Light,Spellcaster,3,1000,700,15150365,Unlimited,monster,
115,115,Gearfried the Iron Knight,,260,260,Earth,Warrior,4,1800,1600,00423705,Unlimited,monster,
116,116,Nightmare Scorpion,,72,72,Earth,Insect,3,900,800,88643173,Unlimited,monster,
117,117,Spirit of the Books,,161,161,Wind,Winged Beast,4,1400,1200,14037717,Unlimited,monster,
118,118,XYZ-Dragon Cannon,,58,58,Light,Machine,8,2800,2600,91998119,Unlimited,monster,
119,119,Humanoid Slime,,319,319,Water,Aqua,4,800,2000,46821314,Unlimited,monster,
120,120,Dream Clown,,121,121,Dreams,Warrior,3,1200,900,13215230,Unlimited,monster,
121,121,Sleeping Lion,,233,233,Forest,Beast,4,700,1700,40200834,Unlimited,monster,
122,122,Yamatano Dragon Scroll,,72,72,Wind,Dragon,2,900,300,76704943,Unlimited,monster,
123,123,Dark Plant,,22,22,Fiend,Plant,1,300,400,13193642,Unlimited,monster,
124,124,Worm Drake,,183,183,Earth,Insect,4,1400,1500,73216412,Unlimited,monster,
125,125,Faith Bird,,183,183,Light,Winged Beast,4,1500,1100,75582395,Unlimited,monster,
126,126,Orion the Battle King,,41,41,Light,Fairy,5,1800,1500,02971090,Unlimited,monster,
127,127,Ansatsu,,25,25,Dark,Warrior,5,1700,1200,48365709,Unlimited,monster,
128,128,LaMoon,,25,25,Light,Spellcaster,5,1200,1700,75850803,Unlimited,monster,
129,129,Nemuriko,,59,59,Dark,Spellcaster,3,800,700,90963488,Unlimited,monster,
130,130,Weather Control,,37,37,Light,Fairy,2,600,400,37243151,Unlimited,monster,
131,131,Octoberser,,14,14,Water,Aqua,5,1600,1400,74637266,Unlimited,monster,
132,132,Humanoid Worm Drake,,3,3,Water,Aqua,7,2200,2000,05600127,Unlimited,monster,
133,133,Charubin the Fire Knight,,103,103,Fire,Pyro,3,1100,800,37421579,Unlimited,monster,
134,134,Revival Jam,,183,183,Water,Aqua,4,1500,500,31709826,Unlimited,monster,
135,135,Fiend's Hand,,37,37,Fiend,Zombie,2,600,600,52800428,Unlimited,monster,
136,136,Witty Phantom,,161,161,Dark,Fiend,4,1400,1300,36304921,Unlimited,monster,
137,137,Buster Blader,,30,30,Earth,Warrior,7,2600,2300,78193831,Unlimited,monster,
138,138,Dark Necrofear,,58,58,Dark,Fiend,8,2200,2800,31829185,Unlimited,monster,
139,139,Blue-Eyed Silver Zombie,,72,72,Fiend,Zombie,3,900,700,35282433,Unlimited,monster,
140,140,Toad Master,,87,87,Water,Aqua,3,1000,1000,62671448,Unlimited,monster,
141,141,Spiked Snail,,140,140,Fiend,Insect,3,700,1300,98075147,Unlimited,monster,
142,142,Flame Manipulator,,87,87,Fire,Spellcaster,3,900,1000,34460851,Unlimited,monster,
143,143,Necrolancer the Timelord,,72,72,Dreams,Spellcaster,3,800,900,61454890,Unlimited,monster,
144,144,Djinn the Watcher of the Wind,,72,72,Wind,Spellcaster,3,700,900,97843505,Unlimited,monster,
145,145,The Bewitching Phantom Thief,,47,47,Dreams,Spellcaster,2,700,700,24348204,Unlimited,monster,
146,146,Temple of Skulls,,140,140,Dark,Zombie,4,900,1300,00732302,Unlimited,monster,
147,147,Monster Egg,,72,72,Earth,Warrior,3,600,900,36121917,Unlimited,monster,
148,148,The Shadow Who Controls the Dark,,59,59,Dark,Fiend,3,800,700,63125616,Unlimited,monster,
149,149,X-Head Cannon,,260,260,Wind,Machine,4,1800,1500,62651957,Unlimited,monster,
150,150,Akihiron,,25,25,Water,Aqua,5,1700,1400,36904469,Unlimited,monster,
151,151,Orgoth the Relentless,,20,20,Earth,Warrior,7,2500,2450,55908887,Unlimited,monster,
152,152,The Melting Red Shadow,,47,47,Fiend,Aqua,2,500,700,98898173,Unlimited,monster,
153,153,Dokuroizo the Grim Reaper,,121,121,Fiend,Zombie,3,900,1200,25882881,Unlimited,monster,
154,154,Fire Reaper,,47,47,Fire,Zombie,2,700,500,53581214,Unlimited,monster,
155,155,Larvas,,87,87,Forest,Beast,3,800,1000,94675535,Unlimited,monster,
156,156,Hard Armor,,121,121,Earth,Warrior,3,300,1200,20060230,Unlimited,monster,
157,157,Firegrass,,47,47,Fire,Plant,2,700,600,53293545,Unlimited,monster,
158,158,Cyber Jar,,72,72,Dark,Rock,3,900,900,34124316,Unlimited,monster,
159,159,Dig Beak,,59,59,Forest,Beast,2,500,800,29948642,Unlimited,monster,
160,160,M-Warrior #1,,87,87,Earth,Warrior,3,1000,500,56342351,Unlimited,monster,
161,161,M-Warrior #2,,87,87,Earth,Warrior,3,500,1000,92731455,Unlimited,monster,
162,162,Banisher of the Light,,319,319,Light,Fairy,3,100,2000,61528025,Unlimited,monster,
163,163,Lisark,,140,140,Wind,Beast,4,1300,1300,55210709,Unlimited,monster,
164,164,Des Feral Imp,,260,260,Fiend,Reptile,4,1600,1800,81985784,Unlimited,monster,
165,165,The Judgement Hand,,161,161,Light,Warrior,3,1400,700,28003512,Unlimited,monster,
166,166,Mysterious Puppeteer,,183,183,Earth,Warrior,4,1000,1500,54098121,Unlimited,monster,
167,167,Ancient Jar,,22,22,Earth,Rock,1,400,200,81492226,Unlimited,monster,
168,168,Darkfire Dragon,,183,183,Fire,Dragon,4,1500,1250,17881964,Unlimited,monster,
169,169,Dark King of the Abyss,,121,121,Dark,Fiend,3,1200,800,53375573,Unlimited,monster,
170,170,Spirit of the Harp,,319,319,Light,Fairy,4,800,2000,80770678,Unlimited,monster,
171,171,Big Eye,,121,121,Dreams,Fiend,4,1200,1000,16768387,Unlimited,monster,
172,172,Armaill,,140,140,Fire,Warrior,3,700,1300,53153481,Unlimited,monster,
173,173,Giant Rat,,172,172,Forest,Beast,4,1400,1450,97017120,Unlimited,monster,
174,174,Senju of the Thousand Hands,,161,161,Light,Fairy,4,1400,1000,23401839,Unlimited,monster,
175,175,UFO Turtle,,161,161,Fire,Machine,4,1400,1200,60806437,Unlimited,monster,
176,176,Fire Eye,,59,59,Fire,Pyro,2,800,600,88435542,Unlimited,monster,
177,177,Monsturtle,,87,87,Water,Aqua,3,800,1000,15820147,Unlimited,monster,
178,178,Claw Reacher,,87,87,Dark,Fiend,3,1000,800,41218256,Unlimited,monster,
179,179,Phantom Dewan,,47,47,Dark,Spellcaster,2,700,600,77603950,Unlimited,monster,
180,180,Arlownay,,87,87,Forest,Plant,3,800,1000,14708569,Unlimited,monster,
181,181,Flash Assailant,,319,319,Dark,Fiend,4,2000,2000,96890582,Unlimited,monster,
182,182,Karate Man,,87,87,Earth,Warrior,3,1000,1000,23289281,Unlimited,monster,
183,183,Lucky Trinket,,59,59,Light,Spellcaster,2,600,800,03985011,Unlimited,monster,
184,184,Genin,,72,72,Dreams,Spellcaster,3,600,900,49370026,Unlimited,monster,
185,185,Dark Zebra,,260,260,Forest,Beast,4,1800,400,59784896,Unlimited,monster,
186,186,Fiend Reflection #2,,161,161,Dreams,Winged Beast,4,1100,1400,02863439,Unlimited,monster,
187,187,Gate Deeg,,59,59,Fiend,Beast,3,700,800,49258578,Unlimited,monster,
188,188,Giant Germ,,87,87,Dark,Fiend,2,1000,100,95178994,Unlimited,monster,
189,189,Fusionist,,72,72,Forest,Beast,3,900,700,01641882,Unlimited,monster,
190,190,Nimble Momonga,,87,87,Forest,Beast,2,1000,100,22567609,Unlimited,monster,
191,191,LaLa Li-oon,,37,37,Thunder,Thunder,2,600,600,09430387,Unlimited,monster,
192,192,Key Mace,,22,22,Light,Fairy,1,400,300,01929294,Unlimited,monster,
193,193,Final Destiny,,15,15,,Magic,,,,18591904,Unlimited,spelltrap,
194,194,Heavy Storm,,150,150,,Magic,,,,19613556,Unlimited,spelltrap,
195,195,Doron,,72,72,Water,Warrior,2,900,500,00756652,Unlimited,monster,
196,196,Cyclon Laser,,2,2,,Magic,,,,05494820,Unlimited,spelltrap,
197,197,Boar Soldier,,319,319,Earth,Beast-Warrior,4,2000,500,21340051,Unlimited,monster,
198,198,Happy Lover,,59,59,Light,Fairy,2,800,500,99030164,Unlimited,monster,
199,199,Penguin Knight,,72,72,Earth,Aqua,3,900,800,36039163,Unlimited,monster,
200,200,Petit Dragon,,47,47,Wind,Dragon,2,600,700,75356564,Unlimited,monster,
201,201,Frenzied Panda,,121,121,Forest,Beast,4,1200,1000,98818516,Unlimited,monster,
202,202,Air Marmot of Nefariousness,,37,37,Fiend,Beast,2,400,600,75889523,Unlimited,monster,
203,203,Phantom Ghost,,59,59,Fiend,Zombie,2,600,800,61201220,Unlimited,monster,
204,204,Mother Grizzly,,161,161,Water,Beast-Warrior,4,1400,1000,57839750,Unlimited,monster,
205,205,Flying Kamakiri #1,,161,161,Fire,Insect,4,1400,900,84834865,Unlimited,monster,
206,206,Twin Long Rods #1,,72,72,Fiend,Aqua,3,900,700,60589682,Unlimited,monster,
207,207,Droll Bird,,37,37,Wind,Winged Beast,2,600,500,97973387,Unlimited,monster,
208,208,Petit Angel,,72,72,Light,Fairy,3,600,900,38142739,Unlimited,monster,
209,209,Winged Cleaver,,47,47,Forest,Insect,2,700,700,39175982,Unlimited,monster,
210,210,Hinotama Soul,,37,37,Fire,Pyro,2,600,500,96851799,Unlimited,monster,
211,211,Kaminarikozou,,47,47,Thunder,Thunder,2,700,600,15510988,Unlimited,monster,
212,212,Meotoko,,47,47,Fiend,Beast,2,700,600,53832650,Unlimited,monster,
213,213,Aqua Madoor,,319,319,Water,Spellcaster,4,1200,2000,85639257,Unlimited,monster,
214,214,Kagemusha of the Blue Flame,,59,59,Fire,Warrior,2,800,400,15401633,Unlimited,monster,
215,215,Flame Ghost,,87,87,Fire,Zombie,3,1000,800,58528964,Unlimited,monster,
216,216,Nightmare Penguin,,32,32,Water,Aqua,5,1300,1750,81306586,Unlimited,monster,
217,217,B. Skull Dragon,,5,5,Fiend,Dragon,9,3200,2500,11901678,Unlimited,monster,
218,218,Two-Mouth Darkruler,,72,72,Fiend,Dinosaur,3,900,700,57305373,Unlimited,monster,
219,219,Solitude,,95,95,Fiend,Beast-Warrior,3,1050,1000,84794011,Unlimited,monster,
220,220,Masked Sorcerer,,161,161,Dark,Spellcaster,4,900,1400,10189126,Unlimited,monster,
221,221,Kumootoko,,161,161,Forest,Insect,3,700,1400,56283725,Unlimited,monster,
222,222,Ceremonial Bell,,274,274,Light,Spellcaster,3,0,1850,20228463,Unlimited,monster,
223,223,Roaring Ocean Snake,,116,116,Water,Aqua,6,2100,1800,19066538,Unlimited,monster,
224,224,Trap Master,,103,103,Dark,Warrior,3,500,1100,46461247,Unlimited,monster,
225,225,Fiend Sword,,161,161,Fiend,Warrior,4,1400,800,22855882,Unlimited,monster,
226,226,Sonic Bird,,161,161,Wind,Winged Beast,4,1400,1000,57617178,Unlimited,monster,
227,227,Mystic Tomato,,161,161,Forest,Plant,4,1400,1100,83011277,Unlimited,monster,
228,228,Wood Remains,,87,87,Forest,Zombie,3,1000,900,17733394,Unlimited,monster,
229,229,Hourglass of Life,,47,47,Light,Fairy,2,700,600,08783685,Unlimited,monster,
230,230,Rare Fish,,183,183,Water,Fish,4,1500,1200,80516007,Unlimited,monster,
231,231,Wood Clown,,121,121,Dark,Warrior,3,800,1200,17511156,Unlimited,monster,
232,232,Kotodama,,207,207,Earth,Fairy,3,0,1600,19406822,Unlimited,monster,
233,233,Jam Breeding Machine,,0,0,,Magic,,,,21770260,Unlimited,spelltrap,
234,234,Obelisk the Tormentor,,0,0,Divine,Warrior,12,4000,4000,,Unlimited,monster,
235,235,Wodan the Resident of the Forest,,121,121,Forest,Warrior,3,900,1200,42883273,Unlimited,monster,
236,236,Perfect Machine King,,43,43,Fire,Machine,7,2700,2200,18891691,Unlimited,monster,
237,237,Haniwa,,29,29,Earth,Rock,2,500,500,84285623,Unlimited,monster,
238,238,Slifer the Sky Dragon,,0,0,Divine,Dragon,12,4000,4000,,Unlimited,monster,
239,239,Vishwar Randi,,72,72,Dark,Warrior,3,900,700,78556320,Unlimited,monster,
240,240,The Winged Dragon of Ra (Battle Mode),,0,0,Divine,Machine,12,4000,4000,,Unlimited,monster,
241,241,Dark Assailant,,121,121,Fiend,Zombie,4,1200,1200,41949033,Unlimited,monster,
242,242,Candle of Fate,,37,37,Fire,Fiend,2,600,600,47695416,Unlimited,monster,
243,243,Water Element,,72,72,Water,Aqua,3,900,700,03732747,Unlimited,monster,
244,244,Dissolverock,,87,87,Fire,Rock,3,900,1000,40826495,Unlimited,monster,
245,245,Flying Fish,,59,59,Wind,Fish,4,800,500,31987274,Unlimited,monster,
246,246,One Who Hunts Souls,,103,103,Fiend,Beast-Warrior,4,1100,1000,03606209,Unlimited,monster,
247,247,Root Water,,72,72,Water,Fish,3,900,800,39004808,Unlimited,monster,
248,248,Amphibian Beast,,231,231,Water,Fish,6,2400,2000,67371383,Unlimited,monster,
249,249,Water Omotics,,161,161,Water,Aqua,4,1400,1200,02483611,Unlimited,monster,
250,250,Alligator's Sword Dragon,,25,25,Wind,Dragon,5,1700,1500,03366982,Unlimited,monster,
251,251,Enchanting Mermaid,,121,121,Water,Fish,3,1200,900,75376965,Unlimited,monster,
252,252,Nekogal #1,,103,103,Forest,Beast,3,1100,900,01761063,Unlimited,monster,
253,253,Rocket Warrior,,183,183,Earth,Warrior,4,1500,1300,30860696,Unlimited,monster,
254,254,Aqua Serpent,,183,183,Water,Aqua,4,1500,1200,66259795,Unlimited,monster,
255,255,Prevent Rat,,319,319,Forest,Beast,4,500,2000,00549481,Unlimited,monster,
256,256,Dimensional Warrior,,121,121,Dreams,Warrior,4,1200,1000,37043180,Unlimited,monster,
257,257,The Legendary Fisherman,,50,50,Water,Warrior,5,1850,1600,03643300,Unlimited,monster,
258,258,Beastking of the Swamps,,103,103,Earth,Aqua,4,1000,1100,99426834,Unlimited,monster,
259,259,Satellite Cannon,,0,0,Thunder,Machine,5,0,0,50400231,Unlimited,monster,
260,260,Lunar Queen Elzaim,,103,103,Light,Fairy,3,750,1100,62210247,Unlimited,monster,
261,261,Wicked Mirror,,47,47,Dreams,Fiend,2,700,600,15150371,Unlimited,monster,
262,262,The Little Swordsman of Aile,,140,140,Water,Warrior,3,800,1300,25109950,Unlimited,monster,
263,263,Rock Ogre Grotto #2,,161,161,Earth,Rock,3,700,1400,62193699,Unlimited,monster,
264,264,Wing Egg Elf,,140,140,Light,Fairy,3,500,1300,98582704,Unlimited,monster,
265,265,The Furious Sea King,,59,59,Water,Aqua,3,800,700,18710707,Unlimited,monster,
266,266,Princess of Tsurugi,,72,72,Wind,Warrior,3,900,700,51371017,Unlimited,monster,
267,267,Morphing Jar #2,,59,59,Earth,Rock,3,800,700,79106360,Unlimited,monster,
268,268,Vorse Raider,,289,289,Fiend,Beast-Warrior,4,1900,1200,14898066,Unlimited,monster,
269,269,Versago the Destroyer,,103,103,Dark,Fiend,3,1100,900,50259460,Unlimited,monster,
270,270,Wetha,,87,87,Water,Aqua,3,1000,900,96643568,Unlimited,monster,
271,271,Megirus Light,,72,72,Dark,Fiend,3,900,600,23032273,Unlimited,monster,
272,272,Mavelus,,140,140,Fire,Winged Beast,4,1300,900,59036972,Unlimited,monster,
273,273,Ancient Tree of Enlightenment,,183,183,Forest,Plant,3,600,1500,86421986,Unlimited,monster,
274,274,Green Phantom King,,207,207,Forest,Plant,3,500,1600,22910685,Unlimited,monster,
275,275,Ground Attacker Bugroth,,183,183,Earth,Machine,4,1500,1000,58314394,Unlimited,monster,
276,276,Ray & Temperature,,87,87,Wind,Fairy,3,1000,1000,85309439,Unlimited,monster,
277,277,Flame Champion,,61,61,Fire,Pyro,5,1900,1300,42599677,Unlimited,monster,
278,278,Petit Moth,,16,16,Forest,Insect,1,300,200,58192742,Unlimited,monster,
279,279,Twin-Headed Fire Dragon,,150,150,Fire,Pyro,6,2200,1700,78984772,Unlimited,monster,
280,280,Darkfire Soldier #1,,233,233,Fire,Pyro,4,1700,1150,05388481,Unlimited,monster,
281,281,Mystic Clown,,183,183,Dark,Fiend,4,1500,1000,47060154,Unlimited,monster,
282,282,Mystical Sheep #2,,87,87,Dreams,Beast,3,800,1000,83464209,Unlimited,monster,
283,283,Holograh,,103,103,Light,Machine,3,1100,700,10859908,Unlimited,monster,
284,284,Tao the Chanter,,121,121,Dreams,Spellcaster,3,1200,900,46247516,Unlimited,monster,
285,285,Serpent Marauder,,47,47,Water,Reptile,2,700,600,82742611,Unlimited,monster,
286,286,Mr. Volcano,,116,116,Fire,Pyro,5,2100,1300,31477025,Unlimited,monster,
